"Site","gseason","grow_season","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Mt Edziza","Winter (Oct-Apr)","mean",-7.02,-9.12,-4.84,0.03,822.32,87.04,-9.08,1.49,NA,6.32,53.2
"Mt Edziza","Winter (Oct-Apr)","max",9.19,5.8,14.55,0.8,843.45,100,4.1,11.56,-Inf,30.07,244.16
"Mt Edziza","Winter (Oct-Apr)","min",-26.04,-29.12,-22.99,0,795.48,26.96,-28.46,0,Inf,0,0.6
"Mt Edziza","Winter (Oct-Apr)","obs_na",0,0,0,545,83,0,0,0,637,0,332
"Nonda","Summer (May-Sep)","mean",6.11,Inf,-Inf,1.84,826.98,73.29,1.08,4.64,18.13,14.88,186.88
"Nonda","Summer (May-Sep)","max",20.24,Inf,24.51,38.2,842.85,100,11.97,17.48,89.95,39.76,391.04
"Nonda","Summer (May-Sep)","min",-10.81,-14.1,-Inf,0,802.95,25.4,-11.57,0,270.15,0,12.85
"Nonda","Summer (May-Sep)","obs_na",320,0,0,155,75,320,320,0,329,0,0
"Nonda","Winter (Oct-Apr)","mean",-7.75,Inf,-Inf,0.14,819.21,74.29,-12.08,5.11,18.81,-Inf,67.4
"Nonda","Winter (Oct-Apr)","max",12.74,Inf,15.62,22.2,846.9,100,4.48,20.56,89.95,46.94,318.27
"Nonda","Winter (Oct-Apr)","min",-37.09,-39.58,-Inf,0,791.76,13.5,-40.45,0,270.2,-Inf,4.15
"Nonda","Winter (Oct-Apr)","obs_na",587,0,0,425,309,587,587,97,530,0,0
"Northern Dancer","Summer (May-Sep)","mean",6.04,3.25,9.39,1.78,NA,75.77,1.67,2.27,NA,10.52,204.67
"Northern Dancer","Summer (May-Sep)","max",17.19,15.37,22.23,23.4,-Inf,96.18,9.3,4.93,-Inf,14.09,400.46
